Servidor,Entorno,Distro_SO,Kernel_Activo_RAM,Parche_Disponible_Repo,Reinicio_Pendiente
APP-NNN,Produccion,SLES 15 SP5,5.14.21-150500.55.59-default,NO,NO
BBDDSPAUA01,Produccion,SLES 15 SP5,5.14.21-150500.55.59-default,NO,NO
DWH01,Produccion,SLES 15 SP4,5.14.21-150400.24.38-default,NO,NO
DWH02,Produccion,SLES 15 SP4,5.14.21-150400.24.38-default,NO,NO
ETCCONS01,Produccion,SLES 15 SP4,5.14.21-150400.24.38-default,NO,NO
EXHSP-PROXY-PASS,Produccion,SLES 15 SP2,5.3.18-24.86-default,NO,NO
EXHSP-PROXY-PASS-INT,Produccion,SLES 15 SP2,5.3.18-24.83-default,NO,NO
EXHSP-PROXY-PASS-INT_CLONE,Produccion,No Alcanzable / Error,N/A,NO,NO
FAMAAFM02,Produccion,SLES 15 SP4,5.14.21-150400.24.38-default,NO,NO
FTP01,Produccion,SLES 15 SP7,6.4.0-150700.53.6-default,NO,NO
GEFACT02,Produccion,SLES 15 SP3,5.3.18-150300.59.49-default,NO,NO
GOTA04,Produccion,SLES 15 SP3,5.3.18-150300.59.49-default,NO,NO
INFORMESDB01,Produccion,SLES 15 SP4,5.14.21-150400.24.38-default,NO,NO
INTRANETHSP03,Produccion,SLES 15 SP6,6.4.0-150600.23.30-default,SI,NO
INTRANETHSP04,Produccion,SLES 15 SP5,5.14.21-150500.55.44-default,NO,NO
IPQUORUM03,Produccion,SLES 15 SP2,5.3.18-24.52-default,NO,NO
IPQUORUM04,Produccion,SLES 15 SP2,5.3.18-24.52-default,NO,NO
IPQUORUM05,Produccion,SLES 15 SP7,6.4.0-150700.53.19-default,SI,NO
IPQUORUM06,Produccion,SLES 15 SP7,6.4.0-150700.53.19-default,SI,NO
JIRAHSPBD,Produccion,SLES 15 SP4,5.14.21-150400.24.100-default,NO,NO
MONGODB,Produccion,SLES 15 SP4,5.14.21-150400.24.38-default,NO,NO
MONGODB01,Produccion,SLES 15 SP4,5.14.21-150400.24.38-default,NO,NO
MONGODB02,Produccion,SLES 15 SP4,5.14.21-150400.24.38-default,NO,NO
MONGODB03,Produccion,SLES 15 SP4,5.14.21-150400.24.38-default,NO,NO
MONGODB04,Produccion,SLES 15 SP4,5.14.21-150400.24.38-default,NO,NO
MOVISALUD01,Produccion,SLES 15 SP7,6.4.0-150700.53.19-default,SI,NO
MOVISALUDBD01,Produccion,SLES 15 SP7,6.4.0-150700.53.19-default,SI,NO
MOVISALUDINV01,Produccion,SLES 15 SP7,6.4.0-150700.53.19-default,SI,NO
MOVISALUDINVSQL,Produccion,SLES 15 SP7,6.4.0-150700.53.19-default,SI,NO
OMIQ01,Produccion,SLES 15 SP7,6.4.0-150700.53.40-default,SI,NO
OMIQ01SQL,Produccion,SLES 15 SP7,6.4.0-150700.53.25-default,SI,NO
OPSMANAGER01,Produccion,SLES 15 SP4,5.14.21-150400.24.38-default,NO,NO
PATWINDB02,Produccion,SLES 15 SP3,5.3.18-150300.59.49-default,NO,NO
PIP01,Produccion,SLES 15 SP4,5.14.21-150400.24.38-default,NO,NO
PIPDB,Produccion,SLES 15 SP4,5.14.21-150400.24.38-default,NO,NO
PIQ01,Produccion,SLES 15 SP4,5.14.21-150400.24.38-default,NO,NO
PIQDB,Produccion,SLES 15 SP4,5.14.21-150400.24.38-default,NO,NO
PROXY-PASS,Produccion,SLES 15 SP1,4.12.14-197.29-default,NO,NO
PROXY-PASS-HA,Produccion,SLES 15 SP6,6.4.0-150600.23.30-default,NO,NO
PROXY-PASS-IR,Produccion,SLES 15 SP3,5.3.18-150300.59.49-default,NO,NO
PROXYPASS01,Produccion,SLES 15 SP6,6.4.0-150600.23.30-default,NO,NO
REDCAPAPP01,Produccion,SLES 15 SP5,5.3.18-150300.59.49-default,NO,NO
REDCAPDB01,Produccion,SLES 15 SP5,5.3.18-150300.59.49-default,NO,NO
RMAN01,Produccion,SLES 15 SP2,5.3.18-24.96-default,NO,NO
RMAN19,Produccion,SLES 15 SP3,5.3.18-150300.59.49-default,NO,NO
SAPSPB01,Produccion,SLES 15 SP7,6.4.0-150700.53.40-default,NO,NO
SAPSPE,Produccion,SLES 15 SP4,5.14.21-150400.24.100-default,NO,NO
SAPSPF01,Produccion,SLES 15 SP7,6.4.0-150700.53.6-default,NO,NO
SAPSPP01,Produccion,SLES 15 SP4,5.14.21-150400.24.38-default,NO,NO
SAPSPU01,Produccion,SLES 15 SP7,6.4.0-150700.53.11-default,NO,NO
SESCLI01,Produccion,SLES 15 SP5,5.14.21-150500.55.59-default,NO,NO
SETAPP01,Produccion,SLES 15 SP4,5.14.21-150400.24.38-default,SI,NO
SETDB01,Produccion,SLES 15 SP3,5.3.18-150300.59.49-default,NO,NO
SPBDB,Produccion,SLES 15 SP7,6.4.0-150700.53.40-default,NO,NO
SPEAS01,Produccion,SLES 15 SP4,5.14.21-150400.24.100-default,NO,NO
SPEAS02,Produccion,SLES 15 SP4,5.14.21-150400.24.100-default,NO,NO
SPEAS03,Produccion,SLES 15 SP4,5.14.21-150400.24.100-default,NO,NO
SPEAS04,Produccion,SLES 15 SP4,5.14.21-150400.24.100-default,NO,NO
SPEAS05,Produccion,SLES 15 SP4,5.14.21-150400.24.100-default,NO,NO
SPEAS06,Produccion,SLES 15 SP4,5.14.21-150400.24.100-default,NO,NO
SPEDB,Produccion,SLES 15 SP2,5.3.18-24.46-default,NO,NO
SPFDB,Produccion,SLES 15 SP7,6.4.0-150700.53.6-default,NO,NO
SPPDB,Produccion,SLES 15 SP4,5.14.21-150400.24.38-default,NO,NO
SPUDB,Produccion,SLES 15 SP7,6.4.0-150700.53.11-default,NO,NO
SRV-DB-STORAGE-PIFS,Produccion,SLES 15 SP5,5.14.21-150500.55.73-default,NO,NO
SRV-WEB-API-PIFS,Produccion,SLES 15 SP5,5.14.21-150500.55.73-default,NO,NO
SUSEMANAGER01,Produccion,SLES 15 SP4,5.14.21-150400.24.170-default,NO,NO
SUSEMANAGER02,Produccion,SLES 15 SP7,6.4.0-150700.53.66-default,NO,NO
SYCAI01,Produccion,SLES 15 SP6,6.4.0-150600.23.30-default,SI,NO
Suse-SSB1,Produccion,SLES 15 SP7,6.4.0-150700.53.19-default,SI,NO
WDISP01PRO,Produccion,SLES 15 SP2,5.3.18-24.83-default,NO,NO
WEBIR01,Produccion,SLES 15 SP3,5.3.18-150300.59.98-default,NO,NO
WEBIR02,Produccion,SLES 15 SP3,5.3.18-150300.59.98-default,NO,NO
WEBPUB01,Produccion,SLES 15 SP2,5.3.18-24.96-default,NO,NO
WEBPUB02,Produccion,SLES 15 SP2,5.3.18-24.96-default,NO,NO
WEBPUB03,Produccion,SLES 15 SP2,5.3.18-24.83-default,NO,NO
WEBPUB04,Produccion,SLES 15 SP5,5.14.21-150500.55.44-default,NO,NO
WEBPUB05,Produccion,SLES 15 SP7,6.4.0-150700.53.19-default,SI,NO
bastion02,Produccion,SLES 15 SP4,5.14.21-150400.24.88-default,NO,NO
bastion03,Produccion,SLES 15 SP4,5.14.21-150400.24.88-default,NO,NO
exhsp-proxy-pass-2026,Produccion,SLES 15 SP7,6.4.0-150700.53.40-default,SI,NO
exhsp-proxy-pass-int-2026,Produccion,SLES 15 SP7,6.4.0-150700.53.40-default,SI,NO
sapcconnect01,Produccion,SLES 15 SP4,5.14.21-150400.24.38-default,NO,NO
suse15sp7,Produccion,SLES 15 SP7,6.4.0-150700.53.19-default,SI,NO
zabbix01,Produccion,SLES 15 SP4,5.14.21-150400.24.63-default,NO,NO
DNS01,Produccion,SLES 12 SP5,4.12.14-122.189-default,NO,NO
DNS02,Produccion,SLES 12 SP5,4.12.14-122.189-default,NO,NO
DNS04,Produccion,SLES 12 SP5,4.12.14-122.189-default,NO,NO
DNS05,Produccion,SLES 12 SP5,4.12.14-122.189-default,NO,NO
FAMAAPP01,Produccion,SLES 12 SP5,4.12.14-122.110-default,NO,NO
INTRAHSP01,Produccion,SLES 12 SP5,4.12.14-122.12-default,NO,NO
INTRAHSP02,Produccion,SLES 12 SP5,4.12.14-122.12-default,NO,NO
INTRAHSP03,Produccion,SLES 12 SP5,4.12.14-122.12-default,NO,NO
JARTUM,Produccion,SLES 12 SP5,4.12.14-122.110-default,SI,NO
OPENLAB01,Produccion,SLES 12 SP5,4.12.14-122.110-default,NO,NO
OPENLAB05,Produccion,SLES 12 SP5,4.12.14-122.37-default,NO,NO
OPENLAB08,Produccion,SLES 12 SP5,4.12.14-122.110-default,NO,NO
PUIGMAL,Produccion,SLES 12 SP5,4.12.14-122.136-default,NO,NO
PUIGSACALM,Produccion,SLES 12 SP5,4.12.14-122.136-default,NO,NO
SAPSOLMAN01,Produccion,SLES 12 SP4,4.12.14-95.54-default,NO,NO
SW-BACKUPS,Produccion,SLES 12 SP5,4.12.14-122.110-default,NO,NO
TAONET02,Produccion,SLES 12 SP1,3.12.74-60.64.40-default,NO,NO
TRAK03,Produccion,SLES 12 SP5,4.12.14-122.26-default,NO,NO
ACTIVITI01,Produccion,Ubuntu 16.04,4.4.0-210-generic,SI,NO
ALINITY02,Produccion,No Alcanzable / Error,N/A,NO,NO
APPINFURG01,Produccion,No Alcanzable / Error,N/A,NO,NO
APPWMP01,Produccion,Ubuntu 22.04,5.15.0-140-generic,SI,SI
ARUM01,Produccion,Ubuntu 18.04,4.15.0-213-generic,NO,NO
ATB01,Produccion,Ubuntu 20.04,5.4.0-166-generic,NO,SI
BACTERIEMIES01,Produccion,Ubuntu 22.04,5.15.0-71-generic,NO,SI
DNA-BACKUPS,Produccion,Ubuntu 16.04,4.4.0-186-generic,NO,NO
